# numOriginalFrames: 61
# duration: 2.000000
# numAnnotationTracks: 99
# numAnnotations: 133
0.000000 PIE.@SGVF|MCO_AttackSpeed|1.0
0.000000 PIE.@SGVI|MCO_NextAttack|2
0.000000 PIE.@SGVI|MCO_NextPowerAttack|1
0.066667 CastOKStart
0.100000 preHitFrame
0.100000 FootScuffLeft
0.483333 FootScuffRight
0.583333 SoundPlay.WPNUnarmedSwing
0.583333 Collision_AttackStart
0.683333 Collision_Add.Node(NPC R UpperArm [RUar])|ID(1)|Scale(2.0)
0.683333 Collision_Add.Node(NPC R Forearm [RLar])|ID(1)|Scale(2.0)
0.683333 Collision_Add.Node(NPC R Hand [RHnd])|ID(1)||Scale(3)|LengthMult(3)
0.683333 PIE.$Fist_Hit
0.683333 PIE.$HitRight_Trigger
0.683333 HitFrame
0.683333 PIE.@CAMSHAKE|0.5|0.2
0.800000 Collision_AttackEnd
1.000000 MCO_WinOpen
1.000000 MCO_PowerWinOpen
1.133333 FootScuffLeft
1.333333 MCO_WinClose
1.333333 MCO_PowerWinClose
1.333333 MCO_Recovery
1.633333 FootScuffRight
0.000000 animmotion 0.0 0.0 0
0.016667 animmotion 0.0 0.11 0
0.033333 animmotion 0.0 0.42 0
0.050000 animmotion 0.0 0.92 0
0.066667 animmotion 0.0 1.57 0
0.083333 animmotion 0.0 2.36 0
0.100000 animmotion 0.0 3.26 0
0.116667 animmotion 0.0 4.26 0
0.133333 animmotion 0.0 5.33 0
0.150000 animmotion 0.0 6.44 0
0.166667 animmotion 0.0 7.59 0
0.183333 animmotion 0.0 8.74 0
0.200000 animmotion 0.0 9.89 0
0.216667 animmotion 0.0 11.05 0
0.233333 animmotion 0.0 12.21 0
0.250000 animmotion 0.0 13.37 0
0.266667 animmotion 0.0 14.55 0
0.283333 animmotion 0.0 15.78 0
0.300000 animmotion 0.0 17.13 0
0.316667 animmotion 0.0 18.66 0
0.333333 animmotion 0.0 20.56 0
0.350000 animmotion 0.0 22.88 0
0.366667 animmotion 0.0 25.04 0
0.383333 animmotion 0.0 27.05 0
0.400000 animmotion 0.0 29.05 0
0.416667 animmotion 0.0 31.12 0
0.433333 animmotion 0.0 33.38 0
0.450000 animmotion 0.0 35.87 0
0.466667 animmotion 0.0 38.62 0
0.483333 animmotion 0.0 41.61 0
0.500000 animmotion 0.0 44.83 0
0.516667 animmotion 0.0 48.24 0
0.533333 animmotion 0.0 51.71 0
0.550000 animmotion 0.0 55.1 0
0.566667 animmotion 0.0 58.23 0
0.583333 animmotion 0.0 61.02 0
0.600000 animmotion 0.0 63.65 0
0.616667 animmotion 0.0 66.35 0
0.633333 animmotion 0.0 69.27 0
0.650000 animmotion 0.0 72.18 0
0.666667 animmotion 0.0 74.76 0
0.683333 animmotion 0.0 76.67 0
0.700000 animmotion 0.0 77.74 0
0.716667 animmotion 0.0 78.31 0
0.733333 animmotion 0.0 78.88 0
0.750000 animmotion 0.0 79.86 0
0.766667 animmotion 0.0 81.36 0
0.783333 animmotion 0.0 83.36 0
0.800000 animmotion 0.0 85.71 0
0.816667 animmotion 0.0 88.2 0
0.833333 animmotion 0.0 90.66 0
0.850000 animmotion 0.0 92.87 0
0.866667 animmotion 0.0 94.65 0
0.883333 animmotion 0.0 95.88 0
0.900000 animmotion 0.0 96.73 0
0.916667 animmotion 0.0 97.44 0
0.933333 animmotion 0.0 98.27 0
0.950000 animmotion 0.0 99.4 0
0.966667 animmotion 0.0 100.79 0
0.983333 animmotion 0.0 102.33 0
1.000000 animmotion 0.0 103.94 0
1.016667 animmotion 0.0 105.52 0
1.033333 animmotion 0.0 107.06 0
1.050000 animmotion 0.0 108.56 0
1.066667 animmotion 0.0 110.03 0
1.083333 animmotion 0.0 111.48 0
1.100000 animmotion 0.0 112.9 0
1.116667 animmotion 0.0 114.31 0
1.133333 animmotion 0.0 115.68 0
1.150000 animmotion 0.0 117.0 0
1.166667 animmotion 0.0 118.27 0
1.183333 animmotion 0.0 119.47 0
1.200000 animmotion 0.0 120.58 0
1.216667 animmotion 0.0 121.6 0
1.233333 animmotion 0.0 122.51 0
1.250000 animmotion 0.0 123.3 0
1.266667 animmotion 0.0 123.99 0
1.283333 animmotion 0.0 124.6 0
1.300000 animmotion 0.0 125.15 0
1.316667 animmotion 0.0 125.67 0
1.333333 animmotion 0.0 126.16 0
1.350000 animmotion 0.0 126.66 0
1.366667 animmotion 0.0 127.15 0
1.383333 animmotion 0.0 127.65 0
1.400000 animmotion 0.0 128.15 0
1.416667 animmotion 0.0 128.65 0
1.433333 animmotion 0.0 129.14 0
1.450000 animmotion 0.0 129.62 0
1.466667 animmotion 0.0 130.1 0
1.483333 animmotion 0.0 130.57 0
1.500000 animmotion 0.0 131.03 0
1.516667 animmotion 0.0 131.48 0
1.533333 animmotion 0.0 131.91 0
1.550000 animmotion 0.0 132.33 0
1.566667 animmotion 0.0 132.73 0
1.583333 animmotion 0.0 133.11 0
1.600000 animmotion 0.0 133.48 0
1.616667 animmotion 0.0 133.82 0
1.633333 animmotion 0.0 134.14 0
1.650000 animmotion 0.0 134.43 0
1.666667 animmotion 0.0 134.7 0
1.683333 animmotion 0.0 134.94 0
1.700000 animmotion 0.0 135.16 0
1.716667 animmotion 0.0 135.34 0
1.733333 animmotion 0.0 135.5 0
1.750000 animmotion 0.0 135.63 0
1.766667 animmotion 0.0 135.73 0
1.783333 animmotion 0.0 135.81 0
1.800000 animmotion 0.0 135.86 0
1.816667 animmotion 0.0 135.9 0
1.833333 animmotion 0.0 135.91 0
